,name,st_size,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_atime,st_mtime,st_ctime
144,He can't love you             .mp3,3943227,33206,4986359,4172478725,1,0,0,2023-03-27 19:22:14.515035,2019-09-29 06:51:32.632761,2019-05-16 16:32:11.921688
145,Heartbreaker                  .mp3,3958686,33206,4986361,4172478725,1,0,0,2023-03-27 19:22:14.569035,2019-09-29 06:51:33.625080,2019-05-16 16:32:11.921688
146,Hearts on fire                .mp3,3757232,33206,4986363,4172478725,1,0,0,2023-03-27 19:22:14.674035,2019-09-29 06:51:34.662372,2019-05-16 16:32:11.922688
147,How old are you               .mp3,3068436,33206,4986366,4172478725,1,0,0,2023-03-27 19:22:14.781035,2019-09-29 06:51:35.460302,2019-05-16 16:32:11.922688
148,Howard stern - artie lange get.mp3,29512020,33206,4986368,4172478725,1,0,0,2023-03-27 19:22:14.928034,2019-09-29 06:51:41.914749,2019-05-16 16:32:11.922688
149,Howard stern - artie lange pig.mp3,2775260,33206,4986373,4172478725,1,0,0,2023-03-27 19:22:15.017034,2019-09-29 06:51:42.635602,2019-05-16 16:32:11.923688
150,Howard stern show - dave chape.mp3,8439168,33206,4986375,4172478725,1,0,0,2023-03-27 19:22:15.097034,2019-09-29 06:51:45.490827,2019-05-16 16:32:11.923688
151,I beleive in miracles         .mp3,3704158,33206,4986379,4172478725,1,0,0,2023-03-27 19:22:15.138034,2019-09-29 06:51:47.306628,2019-05-16 16:32:11.923688
152,I can't see anything but you  .mp3,3010771,33206,4986382,4172478725,1,0,0,2023-03-27 19:22:15.383033,2019-09-29 06:51:48.695582,2019-05-16 16:32:11.924688
153,In and out of love            .mp3,3758072,33206,4986384,4172478725,1,0,0,2023-03-27 19:22:15.614033,2019-09-29 06:51:49.939409,2019-05-16 16:32:11.924688
154,It makes no difference        .mp3,4014703,33206,4986387,4172478725,1,0,0,2023-03-27 19:22:15.703032,2019-09-29 06:51:51.578778,2019-05-16 16:32:11.924688
155,Jackie leaves the show        .mp3,7390027,33206,1582438,4172478725,1,0,0,2023-03-27 19:22:12.808040,2011-06-23 03:31:14.000000,2019-05-16 16:32:11.925688
156,Juliet                        .mp3,3636434,33206,4986389,4172478725,1,0,0,2023-03-27 19:22:15.844032,2019-09-29 06:51:52.960331,2019-05-16 16:32:11.925688
157,Just one more night.mp3,3509389,33206,1582450,4172478725,1,0,0,2023-03-27 19:22:13.166039,2017-04-16 21:28:30.554737,2019-05-16 16:32:11.929688
158,Katy's gone                   .mp3,3499766,33206,4986392,4172478725,1,0,0,2023-03-27 19:22:15.929032,2019-09-29 06:51:54.529889,2019-05-16 16:32:11.925688
159,Misunderstood                 .mp3,3820761,33206,4986394,4172478725,1,0,0,2023-03-27 19:22:16.058031,2019-09-29 06:51:55.900791,2019-05-16 16:32:11.926687
